signer_id,handedness,age,gender,region,region_code,pair,hand_in_sheet,note
NR_05,right,60,M,Nara,NR,5-6,R,
NR_06,right,60,M,Nara,NR,5-6,R,
NR_07,right,70,F,Nara,NR,7-8,R,
NR_08,right,70,F,Nara,NR,7-8,R,
NR_09,right,60,F,Nara,NR,9-10,R,
NR_10,right,60,F,Nara,NR,9-10,R,
NR_11,right,40,M,Nara,NR,11−12,R,
NR_12,right,40,M,Nara,NR,11−12,R,
NR_13,right,30,F,Nara,NR,13-14,R,
NR_14,right,30,F,Nara,NR,13-14,?,unknown in sheet - assumed right
NR_15,right,30,M,Nara,NR,15-16,R,
NR_16,right,30,M,Nara,NR,15-16,R,
NR_17,right,50,M,Nara,NR,17-18,R,
NR_18,right,50,M,Nara,NR,17-18,R,
NR_19,right,40,F,Nara,NR,19-20,R,
NR_20,right,40,F,Nara,NR,19-20,?,unknown in sheet - assumed right
NS_01,right,70,F,Nagasaki,NS,1-2,R,
NS_02,right,70,F,Nagasaki,NS,1-2,R,
NS_03,right,30,F,Nagasaki,NS,3-4,R,
NS_04,right,50,F,Nagasaki,NS,3-4,R,
NS_05,right,60,F,Nagasaki,NS,5-6,R,
NS_06,right,60,F,Nagasaki,NS,5-6,R,
NS_07,right,30,M,Nagasaki,NS,7-8,R,
NS_08,right,50,M,Nagasaki,NS,7-8,R,
NS_09,right,60,M,Nagasaki,NS,9-10,R,
NS_10,right,70,M,Nagasaki,NS,9-10,R,
NS_11,right,40,F,Nagasaki,NS,11-12,R,
NS_12,right,40,F,Nagasaki,NS,11-12,R,
NS_13,right,70,M,Nagasaki,NS,13-14,R,
NS_14,right,70,M,Nagasaki,NS,13-14,R,
NS_15,right,40,M,Nagasaki,NS,15-16,R,
NS_16,right,40,M,Nagasaki,NS,15-16,R,
TY_01,right,60,M,Toyama,TY,1-2,R,
TY_02,right,60,M,Toyama,TY,1-2,R,
TY_03,right,50,F,Toyama,TY,3-4,R,
TY_04,right,50,F,Toyama,TY,3-4,R,
TY_05,right,60,F,Toyama,TY,5-6,R,
TY_06,right,70,F,Toyama,TY,5-6,R,
TY_07,right,60,M,Toyama,TY,7-8,R,
TY_08,right,60,M,Toyama,TY,7-8,R,
TY_09,right,60,F,Toyama,TY,9-10,R,
TY_10,right,60,F,Toyama,TY,9-10,R,
TY_11,right,40,F,Toyama,TY,11-12,R,
TY_12,right,40,F,Toyama,TY,11-12,R,
TY_13,right,30,M,Toyama,TY,13-14,R,
TY_14,right,40,M,Toyama,TY,13-14,R,
TY_15,right,40,M,Toyama,TY,15-16,R,
TY_16,right,40,M,Toyama,TY,15-16,R,
